activeaddresses,adjustedtxvolume,averagedifficulty,blockcount,blocksize,exchangevolume,fees,generatedcoins,marketcap,medianfee,mediantxvalue,paymentcount,price,txcount,txvolume,date
453141,1877587229,1935071726621427,5926,142374716,2595760128,768,20624,73091720178,0,76,582511,756,908945,6455260064,31 Dec 2017
588283,3350766369,1924729868145049,5750,173404853,5783349760,1053,20561,74710378603,0,128,793972,772,1153936,11439362620,1 Jan 2018
631268,3007242177,1904343002124745,5540,179899549,5093159936,1240,20599,85723877182,0,263,907535,886,1238030,12858852656,2 Jan 2018
704785,5015607627,1895450077810928,5454,183694448,6502859776,1484,20963,93065343759,0,593,1081291,962,1349890,20325267105,3 Jan 2018
692926,4043007398,1933064000890838,5341,178476756,6683149824,3181,20918,94448336368,0,402,979667,976,1271577,18873133488,4 Jan 2018
659530,3301074902,1899132251295364,5416,176860808,4662219776,3642,20949,96347217994,0,243,902957,995,1226417,15828284008,5 Jan 2018
599292,4247580049,1950646574073070,5528,172839037,5569880064,2910,21180,101002994524,0,209,792558,1043,1152722,13356911634,6 Jan 2018
645894,6211463484,2005809803772549,5408,175771985,8450970112,2944,20603,112187060062,0,251,857580,1158,1215473,18847354018,7 Jan 2018
701525,6089734473,2009516993419598,5377,177642105,7965459968,3092,20736,111023698785,0,328,939000,1146,1256240,19368049792,8 Jan 2018
645542,6332179872,2005905468357510,5415,165948166,9214950400,3697,21082,126003429766,0,359,873928,1300,1177685,23704540594,9 Jan 2018
650420,5638996084,2075422196108215,5430,169948477,7235899904,3132,21031,122905049407,0,316,869367,1268,1173965,20800940348,10 Jan 2018
593833,4235096249,2099697198017231,5419,166119582,5222300160,2325,20917,112287298766,0,178,775572,1158,1118757,15052606786,11 Jan 2018
631489,3893555493,2140802162894378,5394,168636663,5746760192,2412,20679,123188276426,0,127,841560,1270,1179321,12593461168,12 Jan 2018
579714,3745835244,2169168472872537,5625,164942509,4841630208,2237,21026,135533286700,0,126,718666,1397,1081593,35138999309,13 Jan 2018
694739,5338838611,2189371914984289,5424,172731624,4781100032,2227,20414,132429096596,0,266,857921,1365,1206420,16889265174,14 Jan 2018
719093,4887962351,2201746653627646,5522,180941870,8405139968,2230,20888,125413773745,0,380,923303,1293,1277936,20336689647,15 Jan 2018
703314,5003758092,2257174215656141,5572,180681911,8545160192,2069,20843,102998996262,0,356,937064,1061,1277083,17754581396,16 Jan 2018
669433,3850275790,2275486358054672,5569,176566280,5938319872,2153,20549,98662513996,0,234,856119,1016,1205184,14901891211,17 Jan 2018
